[11:00 am] Cook D is ready
[11: 1] Cook D: Preparing order (Waiter V, Customer 3, Count 3)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:5[11:00 am] Cook C is ready
[11: 1] Cook C: Preparing order (Waiter U, Customer 1, Count 4)
[11:21] Cook C: Prepared order (Waiter U, Customer 1, Count 4)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Wait6] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:5er U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
